fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;
6.9;0.75;0.13;6.3;0.036;19;50;0.99312;3.09;0.25;11.1;4;
7.1;0.35;0.27;3.1;0.034;28;134;0.9897;3.26;0.38;13.1;7;
7.2;0.31;0.35;7.2;0.046;45;178;0.9955;3.14;0.53;9.7;5;
6.4;0.28;0.44;7.1;0.048;49;179;0.99528;3.15;0.48;9.2;5;
7.2;0.23;0.46;6.4;0.036;17;85;0.99279;3.1;0.78;11.7;6;
6.6;0.22;0.3;14.7;0.045;50;136;0.99704;3.14;0.37;10.6;6;
7.2;0.31;0.35;7.2;0.046;45;178;0.9955;3.14;0.53;9.7;5;
6.4;0.28;0.44;7.1;0.048;49;179;0.99528;3.15;0.48;9.2;5;
7.2;0.24;0.28;1.9;0.032;30;92;0.9914;3.1;0.39;10.9;6;
6.2;0.27;0.47;1.2;0.146;28;105;0.99224;3.23;0.51;10.1;5;
6.5;0.28;0.25;4.8;0.029;54;128;0.99074;3.17;0.44;12.2;7;
7.2;0.27;0.31;1.2;0.031;27;80;0.98892;3.03;0.33;12.7;6;
7.8;0.28;0.25;3.4;0.024;27;99;0.98959;2.98;0.37;13;6;
8.1;0.26;0.27;4.3;0.03;43;123;0.99212;3.16;0.33;11.2;6;
6.6;0.23;0.37;8.5;0.036;46;153;0.99576;3.2;0.48;9.4;6;
6;0.33;0.2;1.8;0.031;49;159;0.9919;3.41;0.53;11;6;
6;0.33;0.2;1.8;0.031;49;159;0.9919;3.41;0.53;11;6;
7.3;0.2;0.29;19.5;0.039;69;237;100.037;3.1;0.48;9.2;6;
6.6;0.23;0.37;8.5;0.036;46;153;0.99576;3.2;0.48;9.4;6;
7.3;0.2;0.29;19.9;0.039;69;237;100.037;3.1;0.48;9.2;6;
6.2;0.47;0.19;8.3;0.029;24;142;0.992;3.22;0.45;12.3;6;
6;0.33;0.2;1.8;0.031;49;159;0.9919;3.41;0.53;11;6;
7.2;0.14;0.32;1.1;0.022;48;116;0.99218;3.04;0.67;10;6;
5.7;0.22;0.22;16.65;0.044;39;110;0.99855;3.24;0.48;9;6;
5.7;0.22;0.22;16.65;0.044;39;110;0.99855;3.24;0.48;9;6;
5.7;0.22;0.22;16.65;0.044;39;110;0.99855;3.24;0.48;9;6;
8.1;0.2;0.28;0.9;0.023;49;87;0.99062;2.92;0.36;11.1;6;
5.8;0.14;0.15;6.1;0.042;27;123;0.99362;3.06;0.6;9.9;6;
4.8;0.21;0.21;10.2;0.037;17;112;0.99324;3.66;0.48;12.2;7;
8.1;0.2;0.28;0.9;0.023;49;87;0.99062;2.92;0.36;11.1;6;
5.7;0.22;0.22;16.65;0.044;39;110;0.99855;3.24;0.48;9;6;
7.5;0.34;0.24;3.85;0.031;5;34;0.99098;3.01;0.36;11.8;4;
6.6;0.64;0.28;4.4;0.032;19;78;0.99036;3.11;0.62;12.9;6;
7;0.48;0.12;4.5;0.05;23;86;0.99398;2.86;0.35;9;5;
7.6;0.37;0.34;3.2;0.028;42;162;0.9903;3.01;0.33;12.4;6;
7;0.48;0.12;4.5;0.05;23;86;0.99398;2.86;0.35;9;5;
6.6;0.64;0.28;4.4;0.032;19;78;0.99036;3.11;0.62;12.9;6;
8;0.25;0.27;9.7;0.036;15;85;0.99406;2.99;0.36;11.2;6;
7.6;0.38;0.28;4.2;0.029;7;112;0.9906;3;0.41;12.6;6;
6.9;0.26;0.27;4.2;0.031;20;80;0.99089;3.12;0.39;11.5;6;
7.8;0.15;0.34;1.1;0.035;31;93;0.99096;3.07;0.72;11.3;7;
8;0.25;0.27;9.7;0.036;15;85;0.99406;2.99;0.36;11.2;6;
6.9;0.26;0.27;4.2;0.031;20;80;0.99089;3.12;0.39;11.5;6;
5.9;0.655;0;5.6;0.033;8;31;0.9936;3.32;0.51;10.5;4;
7.6;0.38;0.28;4.2;0.029;7;112;0.9906;3;0.41;12.6;6;
7.8;0.31;0.4;1.6;0.027;20;87;0.9911;3.15;0.48;11.9;6;
8.1;0.17;0.21;1.6;0.036;24;119;0.99396;3.18;0.52;10.1;6;
6.8;0.18;0.28;1.1;0.027;32;112;0.99089;3.15;0.45;11;7;
7.4;0.28;0.36;14.6;0.048;35;161;0.9968;3.14;0.56;10.6;5;
7.3;0.23;0.27;2.6;0.035;39;120;0.99138;3.04;0.59;11.3;7;
6.7;0.22;0.22;1.2;0.038;5;124;0.99098;3.1;0.37;11.2;4;
7.4;0.25;0.28;7.25;0.028;14;78;0.99238;2.94;0.37;11.5;7;
7.5;0.3;0.21;6.55;0.026;33;143;0.99244;2.92;0.35;11.1;5;
7.2;0.26;0.24;7;0.023;19;130;0.99176;3.14;0.49;12.8;7;
6.3;0.32;0.32;1.5;0.037;12;76;0.98993;3.3;0.46;12.3;6;
7.7;0.24;0.3;1.4;0.041;15;102;0.9929;3.26;0.53;10.4;6;
7.4;0.25;0.28;7.25;0.028;14;78;0.99238;2.94;0.37;11.5;7;
7;0.24;0.35;1;0.032;42;104;0.98988;3.16;0.37;11.7;7;
5.8;0.28;0.28;4.2;0.044;52;158;0.992;3.35;0.44;10.7;7;
6.8;0.19;0.71;17.5;0.042;21;114;0.99784;2.85;0.5;9.5;6;
6.8;0.19;0.71;17.5;0.042;21;114;0.99784;2.85;0.5;9.5;6;
6.8;0.19;0.71;17.5;0.042;21;114;0.99784;2.85;0.5;9.5;6;
6.6;0.19;0.35;1.5;0.037;37;107;0.99006;3.18;0.68;12;7;
6.4;0.28;0.36;1.3;0.053;28;186;0.99211;3.31;0.45;10.8;5;
5.6;0.28;0.27;3.9;0.043;52;158;0.99202;3.35;0.44;10.7;7;
5.6;0.28;0.28;4.2;0.044;52;158;0.992;3.35;0.44;10.7;7;
6.8;0.19;0.32;7.6;0.049;37;107;0.99332;3.12;0.44;10.7;7;
7.2;0.16;0.29;1;0.031;40;123;0.98958;3.12;0.4;12.1;7;
6.6;0.17;0.28;1.1;0.034;55;108;0.98939;3;0.52;11.9;7;
6.6;0.19;0.28;11.8;0.042;54;137;0.99492;3.18;0.37;10.8;6;
5.8;0.2;0.24;1.4;0.033;65;169;0.99043;3.59;0.56;12.3;7;
6.6;0.39;0.38;9.7;0.053;49;226;0.99787;3.3;0.57;9.4;6;
6.8;0.12;0.3;12.9;0.049;32;88;0.99654;3.2;0.35;9.9;6;
6.6;0.295;0.24;1.6;0.039;29;140;0.99304;3.35;0.61;10.4;7;
6.6;0.26;0.24;7.2;0.038;28;137;0.9952;3.35;0.6;10.4;6;
7;0.32;0.27;7.1;0.027;37;122;0.99165;3.15;0.6;12.6;7;
7.4;0.36;0.23;1.9;0.017;31;69;0.9892;2.93;0.36;12.5;6;
6.7;0.35;0.48;8.8;0.056;35;167;0.99628;3.04;0.47;9.4;5;
6.4;0.38;0.24;7.2;0.047;41;151;0.99604;3.11;0.6;9.2;5;
6.8;0.14;0.18;1.4;0.047;30;90;0.99164;3.27;0.54;11.2;6;
7;0.16;0.25;14.3;0.044;27;149;0.998;2.91;0.46;9.2;6;
7;0.16;0.25;14.3;0.044;27;149;0.998;2.91;0.46;9.2;6;
6.7;0.35;0.48;8.8;0.056;35;167;0.99628;3.04;0.47;9.4;5;
6.8;0.14;0.18;1.4;0.047;30;90;0.99164;3.27;0.54;11.2;6;
6.8;0.16;0.18;1.8;0.046;31;114;0.99226;3.27;0.55;10.8;6;
7;0.16;0.25;14.3;0.044;27;149;0.998;2.91;0.46;9.2;6;
6.4;0.38;0.24;7.2;0.047;41;151;0.99604;3.11;0.6;9.2;5;
7.2;0.24;0.3;1.2;0.037;11;95;0.98914;2.96;0.36;12.5;6;
7.7;0.32;0.61;11.8;0.041;66;188;0.99794;3;0.54;9.3;5;
7;0.29;0.33;0.9;0.041;20;117;0.99048;3.21;0.5;11.4;5;
7.1;0.27;0.24;12.6;0.044;48;118;0.99726;3.04;0.56;10;7;
6.8;0.45;0.28;26.05;0.031;27;122;100.295;3.06;0.42;10.6;6;
6.3;0.2;0.26;4.7;0.04;108;168;0.99278;3.07;0.75;10.7;7;
7.1;0.27;0.24;12.6;0.044;48;118;0.99726;3.04;0.56;10;7;
7.2;0.24;0.3;1.2;0.037;11;95;0.98914;2.96;0.36;12.5;6;
6.8;0.45;0.28;26.05;0.031;27;122;100.295;3.06;0.42;10.6;6;
6.6;0.36;0.28;6.1;0.029;12;93;0.99054;3.19;0.27;12.8;7;
7.7;0.32;0.61;11.8;0.041;66;188;0.99794;3;0.54;9.3;5;
7;0.29;0.33;0.9;0.041;20;117;0.99048;3.21;0.5;11.4;5;
6.4;0.37;0.2;5.6;0.117;61;183;0.99459;3.24;0.43;9.5;5;
6.4;0.38;0.2;5.3;0.117;57;181;0.99459;3.24;0.43;9.5;6;
6.4;0.36;0.2;5.7;0.118;61;172;0.9946;3.24;0.43;9.5;6;
6.6;0.3;0.25;8;0.036;21;124;0.99362;3.06;0.38;10.8;6;
6.6;0.3;0.25;8;0.036;21;124;0.99362;3.06;0.38;10.8;6;
6.5;0.21;0.51;17.6;0.045;34;125;0.99966;3.2;0.47;8.8;6;
6.6;0.3;0.25;8;0.036;21;124;0.99362;3.06;0.38;10.8;6;
7.6;0.31;0.27;8.8;0.021;57;156;0.99442;3.08;0.38;11;7;
5.8;0.58;0;1.5;0.02;33;96;0.98918;3.29;0.38;12.4;6;
6.5;0.26;0.39;1.4;0.02;12;66;0.99089;3.25;0.75;11.3;7;
8.7;0.3;0.34;4.8;0.018;23;127;0.99474;3.12;0.49;11.2;7;
6.4;0.29;0.32;2.4;0.014;34;89;0.99008;3.24;0.66;12.5;7;
6.7;0.13;0.32;3.7;0.017;32;99;0.99348;3.12;0.44;10;6;
6.8;0.19;0.33;4.9;0.047;42;130;0.99283;3.12;0.56;11;6;
6;0.25;0.4;5.7;0.052;56;152;0.99398;3.16;0.88;10.5;6;
6;0.25;0.4;5.7;0.052;56;152;0.99398;3.16;0.88;10.5;6;
6.8;0.19;0.33;4.9;0.047;42;130;0.99283;3.12;0.56;11;6;
6.4;0.24;0.23;2;0.046;30;133;0.9908;3.12;0.54;11.4;7;
5.9;0.18;0.28;5.1;0.039;50;139;0.99165;3.16;0.44;11.3;6;
